benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
HLE,DirectLLM,failure,p90_entropy,455,0,455,1.284599,1.419225,0.419443,0.000081,1.105671,1.572127,1.843740
HLE,DirectLLM,failure,n_tokens,455,0,455,17179.670330,8489.000000,29298.185899,1213.000000,5415.000000,14319.000000,131072.000000
HLE,DirectLLM,failure,wall_time_sec,455,0,455,841.843017,403.695431,1454.848329,57.865169,258.105093,687.566164,7370.885465
HLE,DirectLLM,failure,action_event_count,455,0,455,551.276923,183.000000,1485.826116,6.000000,82.000000,420.500000,13392.000000
HLE,DirectLLM,failure,tool_call_count,455,0,455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,DirectLLM,success,mean_entropy,136,0,136,0.390476,0.369827,0.124054,0.026535,0.302097,0.483433,0.654906
HLE,DirectLLM,success,max_entropy,136,0,136,2.707405,2.734260,0.131450,2.240427,2.648670,2.797922,2.922249
HLE,DirectLLM,success,p50_entropy,136,0,136,0.092271,0.041941,0.120798,0.000027,0.005380,0.120975,0.469693
HLE,DirectLLM,success,p90_entropy,136,0,136,1.235839,1.217004,0.286472,0.000225,1.056443,1.468957,1.752717
HLE,DirectLLM,success,n_tokens,136,0,136,13176.764706,10535.500000,12343.901069,723.000000,7354.000000,16668.500000,131072.000000
HLE,DirectLLM,success,wall_time_sec,136,0,136,650.946581,528.006989,670.766943,39.246926,345.274277,792.632092,7318.299393
HLE,DirectLLM,success,action_event_count,136,0,136,408.029412,265.000000,621.535219,7.000000,156.250000,476.000000,6719.000000
HLE,DirectLLM,success,tool_call_count,136,0,136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,OpenClaw,failure,mean_entropy,509,0,509,0.249638,0.265713,0.166065,0.005965,0.069473,0.393018,0.633622
HLE,OpenClaw,failure,max_entropy,509,0,509,2.504779,2.516215,0.165266,1.920616,2.394594,2.621517,2.879093
HLE,OpenClaw,failure,p50_entropy,509,0,509,0.055561,0.007646,0.089201,0.000117,0.000612,0.081800,0.517956
HLE,OpenClaw,failure,p90_entropy,509,0,509,0.758161,0.953496,0.532886,0.002116,0.090229,1.204982,1.580296
HLE,OpenClaw,failure,n_tokens,509,0,509,6972.286837,2296.000000,7884.883261,115.000000,1242.000000,12028.000000,24590.000000
HLE,OpenClaw,failure,wall_time_sec,509,0,509,521.966360,389.261193,503.667084,19.889172,70.239946,901.194407,3678.394335
