benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
HLE,DirectLLM,failure,action_event_count,426,0,426,14.737089,7.000000,151.174064,0.000000,6.000000,9.000000,3130.000000
HLE,DirectLLM,failure,tool_call_count,426,0,426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,DirectLLM,success,mean_entropy,165,0,165,0.256087,0.234120,0.098780,0.077846,0.180356,0.322155,0.526008
HLE,DirectLLM,success,max_entropy,165,0,165,2.519330,2.522855,0.123459,2.243689,2.418542,2.598154,2.799312
HLE,DirectLLM,success,p50_entropy,165,0,165,0.015747,0.001167,0.036710,0.000005,0.000210,0.014088,0.249173
HLE,DirectLLM,success,p90_entropy,165,0,165,0.912345,0.898706,0.272810,0.082371,0.719605,1.115748,1.521961
HLE,DirectLLM,success,n_tokens,165,0,165,7786.412121,7693.000000,3993.003753,915.000000,5092.000000,10209.000000,22874.000000
HLE,DirectLLM,success,wall_time_sec,165,0,165,1003.321181,923.709847,559.007819,112.439376,587.094346,1439.254710,2957.245258
HLE,DirectLLM,success,action_event_count,165,0,165,8.036364,7.000000,3.938760,3.000000,6.000000,8.000000,31.000000
HLE,DirectLLM,success,tool_call_count,165,0,165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,OpenClaw,failure,mean_entropy,448,0,448,0.245631,0.270490,0.123267,0.001137,0.167306,0.345245,0.481348
HLE,OpenClaw,failure,max_entropy,448,0,448,2.511168,2.513776,0.127417,2.003391,2.434076,2.592205,2.936600
HLE,OpenClaw,failure,p50_entropy,448,0,448,0.021609,0.002865,0.037349,0.000001,0.000073,0.026005,0.248587
HLE,OpenClaw,failure,p90_entropy,448,0,448,0.825372,0.975340,0.406604,0.000015,0.693008,1.124467,1.355217
HLE,OpenClaw,failure,n_tokens,448,0,448,19885.334821,5789.500000,34636.662122,251.000000,2948.750000,12632.250000,150741.000000
HLE,OpenClaw,failure,wall_time_sec,448,0,448,812.275156,239.792108,1403.014745,16.188015,129.703754,513.978184,6357.753304
HLE,OpenClaw,failure,action_event_count,448,0,448,10.314732,8.000000,6.995315,0.000000,6.000000,13.000000,53.000000
HLE,OpenClaw,failure,tool_call_count,448,0,448,4.055804,1.000000,6.803952,0.000000,0.000000,6.000000,52.000000
HLE,OpenClaw,success,mean_entropy,143,0,143,0.252606,0.254262,0.084066,0.080401,0.185267,0.310905,0.444664
HLE,OpenClaw,success,max_entropy,143,0,143,2.507712,2.497185,0.104527,2.280547,2.438451,2.567353,2.818028
HLE,OpenClaw,success,p50_entropy,143,0,143,0.015831,0.001581,0.030075,0.000002,0.000273,0.014810,0.174541
HLE,OpenClaw,success,p90_entropy,143,0,143,0.892679,0.929571,0.228164,0.186335,0.713993,1.062188,1.285572
HLE,OpenClaw,success,n_tokens,143,0,143,7112.307692,6416.000000,4452.247152,910.000000,4250.500000,8915.500000,28181.000000
HLE,OpenClaw,success,wall_time_sec,143,0,143,283.993477,258.749084,176.713405,39.558610,167.689221,356.696436,1136.361243
HLE,OpenClaw,success,action_event_count,143,0,143,9.573427,8.000000,4.750399,3.000000,7.000000,11.000000,31.000000
HLE,OpenClaw,success,tool_call_count,143,0,143,2.321678,0.000000,4.220498,0.000000,0.000000,2.000000,22.000000
HLE,OpenCode,failure,mean_entropy,449,0,449,0.248476,0.259673,0.097380,0.002860,0.184958,0.322098,0.483046
HLE,OpenCode,failure,max_entropy,449,0,449,2.468895,2.484618,0.159398,1.522566,2.385238,2.569061,2.825260
HLE,OpenCode,failure,p50_entropy,449,0,449,0.016166,0.002292,0.028143,0.000001,0.000147,0.020019,0.221869
HLE,OpenCode,failure,p90_entropy,449,0,449,0.860813,0.952466,0.307702,0.000022,0.745471,1.071006,1.345363
HLE,OpenCode,failure,n_tokens,449,0,449,12983.768374,6612.000000,21385.476248,305.000000,3073.000000,11752.000000,142295.000000
HLE,OpenCode,failure,wall_time_sec,449,0,449,979.662087,335.736406,1674.854810,21.073833,152.576661,756.333998,9302.094625
HLE,OpenCode,failure,action_event_count,449,0,449,147.951002,14.000000,721.820658,1.000000,10.000000,24.000000,10023.000000
