model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,GPQA,gpqa_184,0,1,0.08842756072831408,14437
Gemma4-31B,directllm,GPQA,gpqa_185,0,1,0.3004666702945762,4500
Gemma4-31B,directllm,GPQA,gpqa_186,0,1,0.09748129402700646,3852
Gemma4-31B,directllm,GPQA,gpqa_187,0,1,0.1318080741206107,4510
Gemma4-31B,directllm,GPQA,gpqa_188,0,1,0.09549146954593367,5083
Gemma4-31B,directllm,GPQA,gpqa_189,0,1,0.11961287043875808,7149
Gemma4-31B,directllm,GPQA,gpqa_19,0,1,0.07746306861320172,3377
Gemma4-31B,directllm,GPQA,gpqa_190,0,1,0.1333519932062502,3299
Gemma4-31B,directllm,GPQA,gpqa_191,0,1,0.2277913018079934,1867
Gemma4-31B,directllm,GPQA,gpqa_192,0,1,0.19379503141585572,6868
Gemma4-31B,directllm,GPQA,gpqa_193,0,1,0.06485583453323923,1969
Gemma4-31B,directllm,GPQA,gpqa_194,0,1,0.17056794195368769,5297
Gemma4-31B,directllm,GPQA,gpqa_195,0,1,0.16809399076528225,4416
Gemma4-31B,directllm,GPQA,gpqa_196,0,0,0.20800006594172885,6961
Gemma4-31B,directllm,GPQA,gpqa_197,0,1,0.1487416975080847,9481
Gemma4-31B,directllm,GPQA,gpqa_2,0,1,0.16657232550055748,7994
Gemma4-31B,directllm,GPQA,gpqa_20,0,1,0.2559248979360105,2811
Gemma4-31B,directllm,GPQA,gpqa_21,0,1,0.1535689349579467,10335
Gemma4-31B,directllm,GPQA,gpqa_22,0,0,0.02134097695266533,96244
Gemma4-31B,directllm,GPQA,gpqa_23,0,1,0.22940904322221825,4003
Gemma4-31B,directllm,GPQA,gpqa_24,0,1,0.1707684897337404,8177
Gemma4-31B,directllm,GPQA,gpqa_25,0,1,0.1099631044116945,7902
Gemma4-31B,directllm,GPQA,gpqa_26,0,1,0.18161936506110687,9084
Gemma4-31B,directllm,GPQA,gpqa_27,0,1,0.3138548975463119,2887
Gemma4-31B,directllm,GPQA,gpqa_28,0,0,0.012719457832904872,97098
Gemma4-31B,directllm,GPQA,gpqa_29,0,1,0.35407718929956905,2524
Gemma4-31B,directllm,GPQA,gpqa_3,0,1,0.15163384727654367,8147
Gemma4-31B,directllm,GPQA,gpqa_30,0,0,0.1094391312490261,12374
Gemma4-31B,directllm,GPQA,gpqa_31,0,0,0.3830904322176396,5845
Gemma4-31B,directllm,GPQA,gpqa_32,0,1,0.15053868065268547,7569
Gemma4-31B,directllm,GPQA,gpqa_33,0,1,0.28185616703616284,2541
Gemma4-31B,directllm,GPQA,gpqa_34,0,1,0.19449851247876304,3934
Gemma4-31B,directllm,GPQA,gpqa_35,0,1,0.18220625007561947,3537
Gemma4-31B,directllm,GPQA,gpqa_36,0,1,0.14360602045191648,5402
Gemma4-31B,directllm,GPQA,gpqa_37,0,1,0.14188372808540906,2523
Gemma4-31B,directllm,GPQA,gpqa_38,0,0,0.23840683289600215,2308
Gemma4-31B,directllm,GPQA,gpqa_39,0,1,0.24979488293791785,4560
Gemma4-31B,directllm,GPQA,gpqa_4,0,1,0.16308429406430372,10603
Gemma4-31B,directllm,GPQA,gpqa_40,0,1,0.2605081284496694,7261
Gemma4-31B,directllm,GPQA,gpqa_41,0,1,0.15323034278044598,8517
Gemma4-31B,directllm,GPQA,gpqa_42,0,1,0.3228197771662371,5821
Gemma4-31B,directllm,GPQA,gpqa_43,0,0,0.3375998840050919,1645
Gemma4-31B,directllm,GPQA,gpqa_44,0,1,0.15536648139810916,9058
Gemma4-31B,directllm,GPQA,gpqa_45,0,1,0.1453558405398127,3764
Gemma4-31B,directllm,GPQA,gpqa_46,0,1,0.1417836675487949,12502
Gemma4-31B,directllm,GPQA,gpqa_47,0,1,0.30052174085505856,3025
Gemma4-31B,directllm,GPQA,gpqa_48,0,1,0.31694124824946157,1573
Gemma4-31B,directllm,GPQA,gpqa_49,0,1,0.32921030112563365,2326
Gemma4-31B,directllm,GPQA,gpqa_5,0,1,0.20053826474159764,9817
Gemma4-31B,directllm,GPQA,gpqa_50,0,1,0.16013487729111167,11769
Gemma4-31B,directllm,GPQA,gpqa_51,0,1,0.11786430072859075,3374
Gemma4-31B,directllm,GPQA,gpqa_52,0,1,0.2034282798805589,5223
Gemma4-31B,directllm,GPQA,gpqa_53,0,1,0.12736147889690141,9612
Gemma4-31B,directllm,GPQA,gpqa_54,0,1,0.15047776153697476,5030
Gemma4-31B,directllm,GPQA,gpqa_55,0,1,0.18433951089532877,5078
Gemma4-31B,directllm,GPQA,gpqa_56,0,1,0.1457557646600267,1913
Gemma4-31B,directllm,GPQA,gpqa_57,0,1,0.35152324830847953,5152
Gemma4-31B,directllm,GPQA,gpqa_58,0,1,0.19282515225215133,6827
Gemma4-31B,directllm,GPQA,gpqa_59,0,1,0.3493892504129515,6232
Gemma4-31B,directllm,GPQA,gpqa_6,0,1,0.11900942415163775,7289
Gemma4-31B,directllm,GPQA,gpqa_60,0,1,0.4444721041743321,3209
Gemma4-31B,directllm,GPQA,gpqa_61,0,1,0.340981108936291,4536
Gemma4-31B,directllm,GPQA,gpqa_62,0,1,0.31175514961260953,1945
Gemma4-31B,directllm,GPQA,gpqa_63,0,1,0.20451569638415007,6849
Gemma4-31B,directllm,GPQA,gpqa_64,0,0,0.3242618347526889,7197
Gemma4-31B,directllm,GPQA,gpqa_65,0,0,0.08357638154783889,21925
Gemma4-31B,directllm,GPQA,gpqa_66,0,1,0.3265968171538501,1252
Gemma4-31B,directllm,GPQA,gpqa_67,0,1,0.2293841859700982,5375
Gemma4-31B,directllm,GPQA,gpqa_68,0,1,0.27787406590771574,1653
Gemma4-31B,directllm,GPQA,gpqa_69,0,1,0.3017986017178107,6594
Gemma4-31B,directllm,GPQA,gpqa_7,0,1,0.12674882021892792,8619
Gemma4-31B,directllm,GPQA,gpqa_70,0,0,0.40854630222004695,4419
Gemma4-31B,directllm,GPQA,gpqa_71,0,0,0.011139000852718232,81833
Gemma4-31B,directllm,GPQA,gpqa_72,0,1,0.40135764275601643,3965
Gemma4-31B,directllm,GPQA,gpqa_73,0,1,0.3372541193756694,1413
Gemma4-31B,directllm,GPQA,gpqa_74,0,1,0.1763652606725668,4702
Gemma4-31B,directllm,GPQA,gpqa_75,0,1,0.19412108577996823,4456
Gemma4-31B,directllm,GPQA,gpqa_76,0,0,0.23127450852313305,8858
Gemma4-31B,directllm,GPQA,gpqa_77,0,1,0.21787990187607512,10076
Gemma4-31B,directllm,GPQA,gpqa_78,0,0,0.2542911648148287,12239
Gemma4-31B,directllm,GPQA,gpqa_79,0,0,0.24337422370930725,6970
Gemma4-31B,directllm,GPQA,gpqa_8,0,1,0.16647795967327797,10892
Gemma4-31B,directllm,GPQA,gpqa_80,0,1,0.2831545586927764,6034
Gemma4-31B,directllm,GPQA,gpqa_81,0,1,0.20581730254163302,8029
Gemma4-31B,directllm,GPQA,gpqa_82,0,1,0.1786221896888001,7985
Gemma4-31B,directllm,GPQA,gpqa_83,0,1,0.20965067538107066,7297
Gemma4-31B,directllm,GPQA,gpqa_84,0,1,0.21778477592060608,3602
Gemma4-31B,directllm,GPQA,gpqa_85,0,1,0.22164906015851024,9823
Gemma4-31B,directllm,GPQA,gpqa_86,0,0,0.2593483216083382,7479
Gemma4-31B,directllm,GPQA,gpqa_87,0,0,0.3037553170979812,7151
Gemma4-31B,directllm,GPQA,gpqa_88,0,0,0.20685657470610502,11558
Gemma4-31B,directllm,GPQA,gpqa_89,0,1,0.16767141393374388,5146
Gemma4-31B,directllm,GPQA,gpqa_9,0,1,0.18725083877591095,10058
Gemma4-31B,directllm,GPQA,gpqa_90,0,1,0.189626389841216,9137
Gemma4-31B,directllm,GPQA,gpqa_91,0,1,0.224858861578145,6192
Gemma4-31B,directllm,GPQA,gpqa_92,0,1,0.33458845876587395,1148
Gemma4-31B,directllm,GPQA,gpqa_93,0,1,0.16591673136497037,7924
Gemma4-31B,directllm,GPQA,gpqa_94,0,1,0.2313715562930844,8571
Gemma4-31B,directllm,GPQA,gpqa_95,0,1,0.203753308155682,3590
Gemma4-31B,directllm,GPQA,gpqa_96,0,1,0.23829952671055732,9216
Gemma4-31B,directllm,GPQA,gpqa_97,0,0,0.2267516307661107,12361
Gemma4-31B,directllm,GPQA,gpqa_98,0,1,0.1868850254855138,11249
